Total emissions: 336430.42999999906
 
Vehicle; Emission 
test_trip_143;494.88999999999936
test_trip_145;212.46999999999994
test_trip_146;122.59
test_trip_149;400.30000000000024
test_trip_150;77.62000000000002
test_trip_151;580.6599999999999
test_trip_153;262.5199999999999
test_trip_154;408.68999999999994
test_trip_155;216.13000000000002
test_trip_101;332.3500000000001
test_trip_109;480.5399999999998
test_trip_116;182.21
test_trip_123;190.95
test_trip_124;246.75000000000014
test_trip_156;257.8900000000001
test_trip_162;312.0800000000001
test_trip_164;504.91999999999956
test_trip_165;405.2499999999996
test_trip_166;480.5099999999998
test_trip_96;496.61999999999966
test_trip_128;328.36999999999995
test_trip_139;364.8599999999998
test_trip_167;323.06
test_trip_168;334.8599999999999
test_trip_170;368.4900000000002
test_trip_171;248.40999999999977
test_trip_173;248.01999999999992
test_trip_174;98.22
test_trip_175;190.92999999999986
test_trip_176;228.23000000000005
test_trip_177;306.62999999999977
test_trip_148;252.26000000000013
test_trip_158;357.48999999999984
test_trip_179;552.8199999999999
test_trip_180;440.3300000000001
test_trip_181;275.6499999999999
test_trip_182;299.31999999999994
test_trip_183;493.66999999999996
test_trip_186;163.29000000000005
test_trip_187;323.49999999999994
test_trip_188;446.64999999999975
test_trip_152;220.53000000000006
test_trip_157;354.71999999999997
test_trip_160;419.84999999999974
test_trip_161;133.4500000000001
test_trip_190;584.6699999999998
test_trip_191;132.75000000000006
test_trip_193;249.13999999999993
test_trip_194;140.92000000000004
test_trip_195;199.93
test_trip_196;244.85999999999987
test_trip_198;543.29
test_trip_199;363.4600000000002
test_trip_200;387.24999999999994
test_trip_147;381.78
test_trip_163;255.60000000000002
test_trip_201;126.28000000000006
test_trip_202;381.56999999999994
test_trip_204;380.8299999999999
test_trip_205;457.15
test_trip_208;189.24999999999997
test_trip_209;125.78000000000003
test_trip_210;357.4299999999999
test_trip_211;188.2400000000001
test_trip_189;373.14
test_trip_192;286.05
test_trip_214;306.27000000000015
test_trip_215;240.93000000000004
test_trip_216;329.2399999999999
test_trip_218;163.80000000000007
test_trip_220;353.1499999999999
test_trip_159;32.13000000000001
test_trip_185;166.69000000000005
test_trip_221;201.6499999999999
test_trip_225;151.68
test_trip_228;736.139999999999
test_trip_230;215.67000000000002
test_trip_231;231.25999999999996
test_trip_232;345.3800000000002
test_trip_233;606.9499999999999
test_trip_184;93.27000000000005
test_trip_213;241.07
test_trip_222;241.11999999999998
test_trip_235;77.37
test_trip_236;242.11999999999986
test_trip_238;492.68000000000006
test_trip_239;299.21999999999997
test_trip_240;304.46
test_trip_243;485.53999999999957
