Total emissions: 333991.6099999999
 
lane; Emission 
:1372233731_2_1;80.35000000000002
:cluster_6858001697_6858001699_1_0;25.250000000000004
:25291564_0_0;16.02
86533509#0_0;113.50999999999998
:cluster_1372318829_159619609_10_0;0.56
:1372441189_6_0;4.23
86533509#0_1;135.89999999999998
:1372247485_1_0;69.77999999999999
:25291565_1_0;143.54000000000016
:cluster_266159806_266159899_0_0;30.13
:1372318826_0_0;33.02
:56116937_13_0;62.98
15103120_1;71.57999999999997
:60004721_1_0;83.15
:25292473_4_0;62.74999999999999
:25291567_1_0;41.760000000000005
:1372318837_2_0;52.89999999999999
30529498_1;222.45000000000002
:25291565_8_0;18.470000000000006
:25291537_4_0;663.2000000000004
:25291537_8_0;0.64
:1372441170_9_0;88.58
:149143065_1_0;1.4200000000000004
122950927#0_1;1899.6600000000024
:1372376937_11_0;1.77
:3232013769_0_0;0.77
:1372233733_0_0;13.910000000000002
-314642995#0_0;528.38
:25291570_3_0;41.43000000000001
:25291572_0_0;6.2
:60170471_3_0;105.66000000000005
:149143065_3_0;34.39
:760001802_0_1;33.57
:1372260497_8_0;14.909999999999995
:56116937_7_0;1.64
:266159814_0_1;47.15
:1372441183_1_0;106.81999999999996
:913250150_0_0;66.54
:60004721_17_0;0.14
:1372247485_0_0;90.51999999999998
:1372260491_2_0;0.0
:1377940926_1_0;77.37
:59953366_4_0;18.39
:25291571_3_1;58.59000000000001
:1372376937_4_0;15.77
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_9_0;0.69
:cluster_266159806_266159899_6_0;38.06000000000001
:1377211666_7_0;32.76
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_15_0;2.34
:1371750095_0_0;14.17
:449182529_0_0;16.880000000000003
:1372260455_4_0;11.54
:1372233754_6_0;0.43
:25292477_4_0;1.82
:25291591_1_0;84.4
:58753656_3_0;47.209999999999994
:1377610493_3_0;24.02
:1372233754_9_0;0.7700000000000001
:60004721_14_0;2.43
:25291570_0_1;178.1500000000001
:1377211666_10_0;14.140000000000004
:149143065_0_0;8.78
:cluster_258188404_258189020_529507770_529507771_9_0;17.69
:1372247485_3_0;230.11000000000024
:1377940906_4_0;31.01
:1372376956_9_0;0.0
:426911740_0_0;1.19
38156742_0;132.87000000000003
:1005727548_0_0;72.00999999999998
:1372233754_11_0;0.62
:1372318826_1_0;45.969999999999985
:1372233754_12_0;1.35
:60004721_4_0;21.53
:247359926_13_0;14.93
:1377211668_9_0;152.00000000000006
:2264808902_0_1;0.0
:1377940926_11_0;0.0
:268177652_0_0;64.41
:25291591_1_1;142.94999999999996
:1372376937_14_0;57.23000000000001
:60170471_8_0;0.16
:25291567_9_0;33.45000000000001
:cluster_1005526490_25291568_0_0;64.81
:25291537_0_0;145.89000000000007
:25291537_7_0;2.4299999999999997
:56116937_17_0;0.8300000000000001
27132254#0_0;68.08
:25291567_6_0;219.52999999999992
:25291565_12_0;2.5999999999999996
:1372376937_7_0;0.0
:25291565_4_0;26.290000000000006
:56116937_14_0;0.0
:25291537_9_0;2.41
:1379323922_0_0;0.37
:60170471_1_0;25.439999999999998
42107699#0_2;18.290000000000003
:1372260497_3_0;2.79
:1547012339_0_0;0.71
:1372260497_2_0;0.77
:cluster_266159806_266159899_11_0;6.78
:56116937_18_0;16.02
77615451#1_0;329.57999999999987
:1372376956_2_0;1.4600000000000002
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_4_0;24.48
:60004721_18_0;19.25
30001816_0;1407.9800000000002
:1372233733_1_0;168.72
