Total emissions: 333991.6099999999
 
time(s); Emission 
367.00;199.62000000000006
368.00;198.70999999999992
369.00;196.01000000000002
370.00;201.79000000000008
371.00;199.7800000000001
372.00;202.4100000000001
373.00;237.55999999999992
374.00;235.40999999999988
375.00;221.22000000000006
376.00;228.3900000000001
377.00;240.89000000000007
378.00;228.65
379.00;223.77000000000007
380.00;243.30000000000007
381.00;244.31000000000014
382.00;245.45999999999987
383.00;257.29
384.00;272.27000000000015
385.00;260.2500000000001
386.00;260.94000000000005
387.00;253.72000000000003
388.00;242.85999999999996
389.00;255.56000000000006
390.00;234.34999999999997
391.00;241.85999999999999
392.00;229.28000000000011
393.00;240.4699999999998
394.00;212.85
395.00;221.4899999999999
396.00;213.79999999999993
397.00;199.72000000000003
398.00;201.09999999999988
399.00;207.20000000000002
400.00;211.72000000000006
401.00;211.83000000000013
402.00;204.92000000000013
403.00;197.81999999999994
404.00;182.56999999999996
405.00;182.24
406.00;195.79999999999998
407.00;190.64
408.00;188.64000000000007
409.00;190.99000000000012
410.00;183.48000000000002
411.00;176.15
412.00;187.74999999999997
413.00;181.28999999999994
414.00;183.5300000000001
415.00;190.31000000000017
416.00;185.98999999999995
417.00;189.87000000000003
418.00;184.88000000000005
419.00;199.14999999999992
420.00;203.58000000000013
421.00;196.52999999999997
422.00;194.52000000000004
423.00;208.48000000000002
424.00;202.91000000000005
425.00;194.89999999999995
426.00;216.60999999999984
427.00;209.35
428.00;217.5
429.00;217.44000000000008
430.00;243.0400000000001
431.00;239.85000000000008
432.00;250.48000000000016
433.00;261.9200000000002
434.00;268.79999999999995
435.00;260.19000000000017
436.00;265.47000000000014
437.00;267.69999999999993
438.00;274.31
439.00;271.7800000000002
440.00;264.92
441.00;252.45
442.00;270.6400000000001
443.00;292.5800000000001
444.00;323.0299999999999
445.00;297.2999999999997
446.00;316.40999999999974
447.00;314.91999999999996
448.00;320.9499999999998
449.00;298.0099999999999
450.00;316.93999999999994
451.00;327.4
452.00;329.4199999999999
453.00;311.8999999999999
454.00;318.37999999999994
455.00;304.61999999999983
456.00;275.1499999999998
457.00;271.5800000000001
458.00;252.90999999999997
459.00;262.16
460.00;226.04999999999998
461.00;222.16
462.00;202.55000000000015
463.00;187.3100000000001
464.00;194.10000000000002
465.00;208.4
466.00;208.64999999999998
467.00;190.58999999999997
468.00;208.0800000000001
469.00;199.26000000000013
470.00;180.49999999999994
471.00;186.14999999999998
472.00;169.72000000000008
473.00;181.42999999999998
474.00;189.03
475.00;169.89000000000001
476.00;177.8900000000002
477.00;180.96999999999997
478.00;184.67999999999995
479.00;208.35999999999993
480.00;206.38999999999987
481.00;204.93000000000012
482.00;204.19
483.00;206.87999999999997
484.00;219.13000000000005
485.00;219.46000000000004
486.00;221.46
487.00;218.01000000000008
488.00;226.30000000000018
489.00;222.42000000000002
490.00;238.33000000000007
491.00;234.59000000000006
492.00;262.45000000000005
493.00;260.3999999999999
494.00;274.7800000000001
495.00;239.21000000000015
496.00;228.76000000000002
497.00;224.71000000000006
498.00;202.9400000000001
499.00;180.09
500.00;176.57000000000005
501.00;171.91000000000005
502.00;162.20000000000002
503.00;166.23000000000008
504.00;175.6499999999999
505.00;129.92999999999998
506.00;133.45999999999998
507.00;140.98999999999998
508.00;132.19
509.00;152.16000000000005
510.00;150.97
511.00;164.22999999999993
512.00;177.82000000000002
513.00;156.52999999999994
514.00;149.98999999999995
515.00;145.54
516.00;136.37000000000006
517.00;134.18
518.00;120.28
519.00;106.59000000000003
520.00;123.36000000000003
521.00;116.27000000000001
522.00;109.82000000000005
523.00;122.06000000000004
524.00;119.23000000000003
525.00;120.76000000000006
526.00;132.53000000000006
527.00;134.31000000000006
528.00;144.06999999999996
529.00;140.78
530.00;161.12
531.00;169.87000000000003
532.00;172.49999999999997
533.00;157.5399999999999
534.00;168.23999999999998
535.00;172.00000000000003
536.00;195.38000000000014
537.00;207.91000000000003
538.00;223.15000000000006
539.00;227.26999999999995
540.00;251.78000000000006
541.00;220.2700000000001
542.00;240.39000000000013
543.00;249.34999999999994
544.00;256.35999999999984
545.00;265.53000000000003
546.00;274.31000000000006
547.00;262.89
548.00;271.78999999999996
549.00;271.13000000000005
550.00;276.63999999999976
551.00;290.1300000000001
552.00;284.23
553.00;269.57999999999976
554.00;279.68000000000006
555.00;266.7799999999999
556.00;238.35000000000002
557.00;225.97999999999993
558.00;239.9100000000002
559.00;230.66
560.00;238.72999999999985
561.00;223.54999999999995
562.00;223.11999999999986
563.00;230.09
564.00;222.62999999999985
565.00;236.41999999999985
566.00;235.73000000000005
567.00;231.7400000000001
568.00;213.48999999999992
569.00;207.0800000000001
570.00;210.7
571.00;181.79999999999984
572.00;176.1400000000001
573.00;187.81000000000006
574.00;176.03000000000006
575.00;184.19000000000005
576.00;190.83999999999997
577.00;169.55000000000004
578.00;157.85000000000002
579.00;158.39
580.00;158.81000000000003
581.00;157.21999999999994
582.00;166.49
583.00;151.19000000000003
584.00;173.78999999999994
585.00;178.37000000000003
586.00;190.56000000000003
587.00;193.93000000000006
588.00;190.8000000000001
589.00;195.44999999999993
590.00;203.3
591.00;208.08000000000013
592.00;218.65999999999985
593.00;223.28000000000003
594.00;227.90999999999994
595.00;240.22000000000003
596.00;242.7
597.00;238.14000000000001
598.00;235.76000000000005
599.00;243.94
600.00;236.02000000000004
601.00;226.1900000000001
602.00;205.38000000000005
603.00;206.76000000000005
604.00;214.59000000000003
605.00;223.32000000000014
606.00;223.79000000000005
607.00;236.35
608.00;249.07000000000008
609.00;245.07999999999998
610.00;266.8500000000001
611.00;253.62999999999982
612.00;270.24999999999983
613.00;254.28999999999994
614.00;253.9499999999999
615.00;239.48
616.00;237.9399999999999
617.00;247.5400000000002
618.00;236.85000000000002
619.00;229.4400000000001
620.00;223.05999999999995
621.00;250.75000000000003
622.00;243.07000000000016
623.00;233.64000000000007
624.00;217.7000000000001
625.00;211.72000000000003
626.00;208.74999999999986
627.00;193.23999999999998
628.00;193.20000000000005
629.00;178.33000000000007
630.00;190.3
631.00;190.92000000000002
632.00;185.93999999999994
633.00;194.51999999999995
634.00;193.83999999999997
635.00;192.92000000000004
636.00;193.26
637.00;197.77999999999997
638.00;216.08000000000004
639.00;203.33000000000004
640.00;201.46000000000015
641.00;196.44
642.00;181.64999999999998
643.00;195.93000000000004
644.00;208.57000000000002
645.00;198.83999999999997
646.00;200.8800000000001
647.00;197.00000000000006
648.00;198.96000000000006
649.00;191.69
650.00;200.89999999999998
651.00;205.49999999999994
652.00;215.80999999999997
653.00;207.58
654.00;217.9100000000001
655.00;218.48999999999995
656.00;206.87999999999985
657.00;203.53000000000014
658.00;218.52000000000015
659.00;230.72000000000008
660.00;218.81000000000012
661.00;228.0799999999999
662.00;230.5100000000001
663.00;219.81000000000012
664.00;210.71999999999994
665.00;212.21999999999997
666.00;223.8300000000002
667.00;210.48999999999992
668.00;205.82999999999996
669.00;211.74999999999997
670.00;195.83999999999997
671.00;201.13000000000002
672.00;188.75000000000003
673.00;185.16
674.00;202.51999999999995
675.00;183.30999999999995
676.00;168.10000000000002
677.00;163.34999999999994
678.00;176.3
679.00;163.89000000000004
680.00;172.39000000000001
681.00;175.51000000000008
682.00;184.62999999999997
683.00;180.50000000000003
684.00;179.99000000000007
685.00;176.33999999999997
686.00;166.87000000000003
687.00;161.24000000000007
688.00;155.98000000000002
689.00;159.90000000000006
690.00;158.88
691.00;147.33999999999995
692.00;143.5700000000001
693.00;147.16000000000003
694.00;146.54
695.00;152.78000000000003
696.00;153.09
697.00;154.1700000000001
698.00;161.76
699.00;167.12
700.00;163.8
701.00;163.42
702.00;172.48999999999998
703.00;176.26999999999995
704.00;179.88000000000005
705.00;189.14999999999998
706.00;195.51999999999998
707.00;186.06999999999996
708.00;186.74999999999997
709.00;203.05999999999997
710.00;202.94000000000014
711.00;208.12000000000006
712.00;205.42
713.00;203.05000000000004
714.00;199.5700000000001
715.00;199.50999999999993
716.00;184.10000000000008
717.00;187.23000000000002
718.00;165.92000000000002
719.00;168.60000000000005
720.00;156.38999999999996
721.00;150.1
722.00;156.28
723.00;146.36999999999998
724.00;145.14999999999998
725.00;128.69000000000003
726.00;144.04999999999995
727.00;130.01000000000002
728.00;129.33999999999997
729.00;116.53000000000002
730.00;137.00999999999996
731.00;121.47999999999999
732.00;117.84000000000002
733.00;129.14000000000004
734.00;134.74999999999997
735.00;133.35999999999996
736.00;136.25000000000006
737.00;143.61999999999995
738.00;152.50000000000003
739.00;158.51
740.00;157.38999999999996
741.00;153.45000000000002
742.00;167.91000000000003
743.00;176.31
744.00;175.08
745.00;186.9100000000001
746.00;194.67
747.00;207.05
748.00;213.10999999999993
749.00;202.41000000000008
750.00;201.14000000000007
751.00;211.00000000000009
752.00;187.79000000000005
753.00;186.63000000000005
754.00;166.77
755.00;175.42
756.00;164.45999999999995
757.00;167.58
758.00;167.85999999999996
759.00;162.02
760.00;146.52999999999992
761.00;161.77000000000007
762.00;139.41999999999993
